name,cmc,release_year,price,color,image,type_line,artist
Admiral Beckett Brass,4,2023,0.15,#d78f42,https://cards.scryfall.io/normal/front/0/2/02cbd397-3ef3-465f-84fe-765dd1444af8.jpg?1698988417,Legendary Creature — Human Pirate,Jason Rainville
Admiral Brass- Unsinkable,5,2023,0.21,#d78f42,https://cards.scryfall.io/normal/front/b/d/bdc2d492-9d1e-4543-8b9c-c66ee67992ce.jpg?1699972732,Legendary Creature — Human Pirate,Jason Rainville
Akroma's Will,4,2023,10.23,#ffffff,https://cards.scryfall.io/normal/front/6/0/608cdbdb-6f7e-438a-bab0-0e7782435f0f.jpg?1698988079,Instant,Antonio José Manzanedo
Alchemist's Refuge,0,2023,0.57,#d78f42,https://cards.scryfall.io/normal/front/9/a/9a53e001-04e7-4252-b693-d8f956ae574e.jpg?1698988547,Land,Dan Murayama Scott
Altar of the Wretched // Wretched Bonemass,3,2023,0.41,#000000,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Artifact // Creature — Skeleton Horror,Helge C. Balzer
Amphin Mutineer,4,2023,0.06,#341aff,https://cards.scryfall.io/normal/front/4/b/4b45f225-0553-482b-8be4-9c7f3ccf0d0d.jpg?1698988124,Creature — Salamander Pirate,Nicholas Gregory
Amulet of Vigor,1,2023,40.16,#8c8d8b,https://cards.scryfall.io/normal/front/0/7/0790fb8c-7ff3-4681-a2c0-f16642f4f94b.jpg?1698988022,Artifact,Chris Seaman
Angrath's Marauders,7,2023,0.11,#ff1a1a,https://cards.scryfall.io/normal/front/1/6/1685b354-c165-4300-8307-fd38dcd4b3b6.jpg?1698988296,Creature — Human Pirate,Victor Adame Minguez
Apex Altisaur,9,2023,3.19,#087500,https://cards.scryfall.io/normal/front/1/e/1e6beba4-128c-418e-83ed-8a82afc0c39e.jpg?1698988340,Creature — Dinosaur,Simon Dominic
Archaeomancer's Map,3,2023,9.14,#ffffff,https://cards.scryfall.io/normal/front/9/7/9715fce1-307a-49d9-a34a-8bce00d904e8.jpg?1698988015,Artifact,Jonas De Ro
Arch of Orazca,0,2023,0.15,#8c8d8b,https://cards.scryfall.io/normal/front/5/8/581dcadd-7de4-4b39-bab0-d3567194a252.jpg?1698988548,Land,Titus Lunter
Arm-Mounted Anchor,3,2023,0.07,#8c8d8b,https://cards.scryfall.io/normal/front/1/5/15bcbfae-89cd-4fa4-978c-ad1332e81e18.jpg?1705684912,Artifact — Equipment,Nino Vecia
Austere Command,6,2023,0.36,#ffffff,https://cards.scryfall.io/normal/front/c/f/cf1f630e-8b55-4f5a-a7f2-3161801de767.jpg?1698988082,Sorcery,Anna Steinbauer
Benthic Biomancer,1,2023,0.1,#341aff,https://cards.scryfall.io/normal/front/b/8/b83dd3a5-d9cc-470d-a9d0-bf9d270e9eb6.jpg?1698988127,Creature — Merfolk Wizard Mutant,Daarken
Bident of Thassa,4,2023,0.63,#341aff,https://cards.scryfall.io/normal/front/9/4/94751d5e-7693-44af-b1b5-e440677dc7a2.jpg?1698988131,Legendary Enchantment Artifact,Yeong-Hao Han
Black Market Connections,3,2023,15.25,#000000,https://cards.scryfall.io/normal/front/b/8/b8c66fab-7494-42b1-bc4e-dae85a48fa41.jpg?1699022194,Enchantment,Lixin Yin
Blade of the Bloodchief,1,2023,1.04,#8c8d8b,https://cards.scryfall.io/normal/front/3/4/34e7bebf-1844-476c-a947-978393908fa2.jpg?1698988506,Artifact — Equipment,Jung Park
Blasphemous Act,9,2023,2.07,#ff1a1a,https://cards.scryfall.io/normal/front/8/a/8aa9682d-5176-4475-a0bd-e000f1d6999a.jpg?1698988297,Sorcery,Daarken
Bloodghast,2,2023,5.97,#000000,https://cards.scryfall.io/normal/front/0/8/08e01310-d192-41e9-a6f0-0edbd6fb3cfb.jpg?1698988216,Creature — Vampire Spirit,Lixin Yin
Blood Money,7,2023,0.5,#000000,https://cards.scryfall.io/normal/front/b/b/bbbc5c9d-110a-44cd-a2c9-8bad7dac4b5f.jpg?1699022516,Sorcery,Inka Schulz
Bloodtracker,4,2023,0.07,#000000,https://cards.scryfall.io/normal/front/d/6/d654462f-5346-454f-9905-41218cf6b29e.jpg?1698988223,Creature — Vampire Wizard,Magali Villeneuve
Branching Evolution,3,2023,2.0,#087500,https://cards.scryfall.io/normal/front/9/9/999b0d67-aec5-495e-91b0-c4b2f31cf17d.jpg?1698988345,Enchantment,Lucas Graciano
Broadside Bombardiers,3,2023,6.22,#ff1a1a,https://cards.scryfall.io/normal/front/9/7/9721f8da-39ed-4ada-a571-61e08a86032b.jpg?1699022315,Creature — Goblin Pirate,Tomek Larek
Bronzebeak Foragers,4,2023,0.38,#ffffff,https://cards.scryfall.io/normal/front/d/a/dadfcd91-3000-448e-a304-be425ff68644.jpg?1698987936,Creature — Dinosaur,Brian Valeza
Butcher of Malakir,7,2023,0.16,#000000,https://cards.scryfall.io/normal/front/9/d/9d805499-0739-403e-8447-ed2707dc9eb2.jpg?1698988223,Creature — Vampire Warrior,Jason Chan
Bygone Marvels,2,2023,0.11,#087500,https://cards.scryfall.io/normal/front/3/c/3cc95fd4-901e-4a96-9c20-9e8ecf5cfb7c.jpg?1698987985,Sorcery,Constantin Marin
Canopy Vista,0,2023,0.18,#d78f42,https://cards.scryfall.io/normal/front/2/2/2258c917-763a-43a6-9635-a5181e6bb54d.jpg?1698988554,Land — Forest Plains,Steven Belledin
Captain Lannery Storm,3,2023,0.11,#ff1a1a,https://cards.scryfall.io/normal/front/1/9/19862605-e965-4cdc-afca-678cff198d21.jpg?1698988303,Legendary Creature — Human Pirate,Chris Rallis
Captivating Crew,4,2023,0.12,#ff1a1a,https://cards.scryfall.io/normal/front/6/1/611950cc-d10b-438e-abc2-ca0bbe00d76b.jpg?1698988304,Creature — Human Pirate,Winona Nelson
Carmen- Cruel Skymarcher,5,2023,5.46,#d78f42,https://cards.scryfall.io/normal/front/c/0/c0e07f8a-5290-47c4-a93d-0c3a14afebd3.jpg?1698987733,Legendary Creature — Vampire Soldier,Randy Vargas
Chalice of the Void,0,2023,50.21,#8c8d8b,https://cards.scryfall.io/normal/front/a/c/ac43d235-e7d2-4a58-af1a-92ced4810103.jpg?1698988030,Artifact,Julie Dillon
Champion of Dusk,5,2023,0.11,#000000,https://cards.scryfall.io/normal/front/5/f/5fa1674a-86cc-4fdf-8671-860b2bf5043d.jpg?1698988229,Creature — Vampire Knight,Josh Hass
Chandra's Ignition,5,2023,4.08,#ff1a1a,https://cards.scryfall.io/normal/front/9/6/960f45a3-f9cf-41e6-b813-f3dee620a944.jpg?1698988311,Sorcery,Eric Deschamps
Chaos Warp,3,2023,0.44,#ff1a1a,https://cards.scryfall.io/normal/front/7/3/73ca9629-b1e3-49d6-ae10-908b9e4e67ce.jpg?1698988311,Instant,Trevor Claxton
Charismatic Conqueror,2,2023,16.29,#ffffff,https://cards.scryfall.io/normal/front/5/9/599c934d-bfff-43ce-a545-6e3cde124515.jpg?1698987939,Creature — Vampire Soldier,Bram Sels
Chimil- the Inner Sun,6,2023,35.63,#8c8d8b,https://cards.scryfall.io/normal/front/c/f/cfb49910-30fe-483e-b3b8-6268417f013c.jpg?1698988030,Legendary Artifact,Gaboleps
Choked Estuary,0,2023,0.14,#d78f42,https://cards.scryfall.io/normal/front/1/f/1fee96d0-f470-4ddd-a9ac-9dc724f801b0.jpg?1698988554,Land,Vincent Proce
Chromatic Orrery,7,2023,55.0,#8c8d8b,https://cards.scryfall.io/normal/front/7/b/7b0b0520-f792-4201-bd4c-22b7d7824b52.jpg?1698988030,Legendary Artifact,Gaboleps
Cinder Glade,0,2023,0.15,#d78f42,https://cards.scryfall.io/normal/front/f/e/fe5ef229-2bce-4f13-93de-003c75fedaf8.jpg?1698988560,Land — Mountain Forest,Adam Paquette
Clavileño- First of the Blessed,3,2023,0.93,#d78f42,https://cards.scryfall.io/normal/front/9/f/9f55b648-b1ec-407a-a0c7-7647755793d1.jpg?1699972735,Legendary Creature — Vampire Cleric,Matt Stewart
